NUM,PAR,CHAR,TARGET,OOV,#Pred: Ours,#RK: Ours,#RK: iPhone
104,1,d,predominately,,predominantly,46,51
105,1,o,predominately,,predominately,47,52
106,1,m,predominately,,predominately,,53
107,1,i,predominately,,predominately,,54
108,1,n,predominately,,predominately,,55
109,1,a,predominately,,predominately,,56
110,1,t,predominately,,predominately,,57
111,1,e,predominately,,predominately,,
112,1,l,predominately,,predominately,,
113,1,y,predominately,,predominately,,
114,1, ,summaries,,with,48,58
115,1,s,summaries,,someone,49,59
116,1,u,summaries,,such,50,60
117,1,m,summaries,,summaries,51,61
118,1,m,summaries,,summaries,,62
119,1,a,summaries,,summaries,,63
120,1,r,summaries,,summaries,,64
121,1,i,summaries,,summaries,,65
122,1,e,summaries,,summaries,,66
123,1,s,summaries,,summaries,,
124,1, ,of,,with,52,67
125,1,o,of,,of,53,
126,1,f,of,,of,,
127,1, ,things,,the,54,68
128,1,t,things,,those,55,69
129,1,h,things,,thousands,56,70
130,1,i,things,,things,57,71
131,1,n,things,,things,,
132,1,g,things,,things,,
133,1,s,things,,things,,
134,1, ,which,,like,58,72
135,1,w,which,,with,59,73
136,1,h,which,,when,60,74
137,1,i,which,,which,61,
138,1,c,which,,which,,
139,1,h,which,,which,,
140,1, ,news,,are,62,75
141,1,n,news,,never,63,76
142,1,e,news,,neither,64,77
143,1,w,news,,new,65,78
144,1,s,news,,news,66,
145,1, ,reporting,,media,67,79
146,1,r,reporting,,report,68,80
147,1,e,reporting,,reports,69,81
148,1,p,reporting,,reporters,70,82
149,1,o,reporting,,reporting,71,83
150,1,r,reporting,,reporting,,84
151,1,t,reporting,,reporting,,85
152,1,i,reporting,,reporting,,86
153,1,n,reporting,,reporting,,
154,1,g,reporting,,reporting,,
155,1, ,should,,is,72,87
156,1,s,should,,such,73,88
157,1,h,should,,should,74,
158,1,o,should,,should,,
159,1,u,should,,should,,
160,1,l,should,,should,,
161,1,d,should,,should,,
162,1, ,avoid,,be,75,89
163,1,a,avoid,,allow,76,90
164,1,v,avoid,,avoid,77,91
165,1,o,avoid,,avoid,,
166,1,i,avoid,,avoid,,
167,1,d,avoid,,avoid,,
168,1, ,as,,the,78,92
169,1,a,as,,a,79,93
170,1,s,as,,as,80,94
171,1, ,it's,,a,81,95
172,1,i,it's,,it,82,96
173,1,t,it's,,its,83,97
174,1,',it's,,it's,84,
175,1,s,it's,,it's,,
176,1, ,inherently,,a,85,98
177,1,i,inherently,,important,86,99
178,1,n,inherently,,in,87,100
179,1,h,inherently,,inherently,88,101
180,1,e,inherently,,inherently,,
181,1,r,inherently,,inherently,,
182,1,e,inherently,,inherently,,
183,1,n,inherently,,inherently,,
184,1,t,inherently,,inherently,,
185,1,l,inherently,,inherently,,
186,1,y,inherently,,inherently,,
187,1, ,subjective,,in,89,102
188,1,s,subjective,,subjective,90,103
189,1,u,subjective,,subjective,,
190,1,b,subjective,,subjective,,
191,1,j,subjective,,subjective,,
192,1,e,subjective,,subjective,,
193,1,c,subjective,,subjective,,
194,1,t,subjective,,subjective,,
195,1,i,subjective,,subjective,,
196,1,v,subjective,,subjective,,
197,1,e,subjective,,subjective,,
198,1, ,and,,to,91,104
199,1,a,and,,and,92,
200,1,n,and,,and,,
201,1,d,and,,and,,
202,1, ,therefore,,to,93,105
203,1,t,therefore,,that,94,106
204,1,h,therefore,,there,95,107
205,1,e,therefore,,the,96,108
206,1,r,therefore,,there's,97,
207,1,e,therefore,,therefore,98,
208,1,f,therefore,,therefore,,
209,1,o,therefore,,therefore,,
210,1,r,therefore,,therefore,,
211,1,e,therefore,,therefore,,
212,1, ,non-neutral,,i,99,109
213,1,n,non-neutral,,needs,100,110
214,1,o,non-neutral,,no,101,111
215,1,n,non-neutral,,none,102,112
216,1,-,non-neutral,,non-commercial,103,113
217,1,n,non-neutral,,non-existent,104,114
218,1,e,non-neutral,,non-neutral,105,115
219,1,u,non-neutral,,non-neutral,,116
220,1,t,non-neutral,,non-neutral,,117
221,1,r,non-neutral,,non-neutral,,118
222,1,a,non-neutral,,non-neutral,,119
223,1,l,non-neutral,,non-neutral,,120
224,1, ,and,,is,106,121
225,1,a,and,,and,107,122
226,1,n,and,,and,,
227,1,d,and,,and,,
228,1, ,an,,is,108,123
229,1,a,an,,actually,109,124
230,1,n,an,,any,110,125
231,1, ,encyclopedia,,example,111,126
232,1,e,encyclopedia,,encyclopedia,112,127
233,1,n,encyclopedia,,encyclopedia,,
234,1,c,encyclopedia,,encyclopedia,,
235,1,y,encyclopedia,,encyclopedia,,
236,1,c,encyclopedia,,encyclopedia,,
237,1,l,encyclopedia,,encyclopedia,,
238,1,o,encyclopedia,,encyclopedia,,
239,1,p,encyclopedia,,encyclopedia,,
240,1,e,encyclopedia,,encyclopedia,,
241,1,d,encyclopedia,,encyclopedia,,
242,1,i,encyclopedia,,encyclopedia,,
243,1,a,encyclopedia,,encyclopedia,,
244,1, ,is,,you,113,128
245,1,i,is,,is,114,129
246,1,s,is,,is,,
247,1, ,also,,not,115,130
248,1,a,also,,a,116,131
249,1,l,also,,also,117,132
250,1,s,also,,also,,
251,1,o,also,,also,,
252,1, ,concerned,,a,118,133
253,1,c,concerned,,concerned,119,134
254,1,o,concerned,,concerned,,135
255,1,n,concerned,,concerned,,136
256,1,c,concerned,,concerned,,137
257,1,e,concerned,,concerned,,
258,1,r,concerned,,concerned,,
259,1,n,concerned,,concerned,,
260,1,e,concerned,,concerned,,
261,1,d,concerned,,concerned,,
262,1, ,with,,about,120,138
263,1,w,with,,with,121,
264,1,i,with,,with,,
265,1,t,with,,with,,
266,1,h,with,,with,,
267,1, ,presenting,,the,122,139
268,1,p,presenting,,page,123,140
269,1,r,presenting,,previous,124,141
270,1,e,presenting,,president,125,142
271,1,s,presenting,,presenting,126,143
272,1,e,presenting,,presenting,,144
273,1,n,presenting,,presenting,,
274,1,t,presenting,,presenting,,
275,1,i,presenting,,presenting,,
276,1,n,presenting,,presenting,,
277,1,g,presenting,,presenting,,
278,1, ,inherently,,the,127,145
279,1,i,inherently,,its,128,146
280,1,n,inherently,,international,129,147
281,1,h,inherently,,inhumane,130,148
282,1,e,inherently,,inherently,131,
283,1,r,inherently,,inherently,,
284,1,e,inherently,,inherently,,
285,1,n,inherently,,inherently,,
286,1,t,inherently,,inherently,,
287,1,l,inherently,,inherently,,
288,1,y,inherently,,inherently,,
289,1, ,subjective,,in,132,149
290,1,s,subjective,,some,133,150
291,1,u,subjective,,subjective,134,151
292,1,b,subjective,,subjective,,152
293,1,j,subjective,,subjective,,
294,1,e,subjective,,subjective,,
295,1,c,subjective,,subjective,,
296,1,t,subjective,,subjective,,
297,1,i,subjective,,subjective,,
298,1,v,subjective,,subjective,,
299,1,e,subjective,,subjective,,
300,1, ,judgements,,and,135,153
301,1,j,judgements,,journalism,136,154
302,1,u,judgements,,justice,137,
303,1,d,judgements,,judgement,138,
304,1,g,judgements,,judgements,139,
305,1,e,judgements,,judgements,,
306,1,m,judgements,,judgements,,
307,1,e,judgements,,judgements,,
308,1,n,judgements,,judgements,,
309,1,t,judgements,,judgements,,
310,1,s,judgements,,judgements,,
311,1, ,that,,.,140,155
312,1,t,that,,to,141,156
313,1,h,that,,that,142,
314,1,a,that,,that,,
315,1,t,that,,that,,
316,1, ,would,,are,143,157
317,1,w,would,,would,144,158
318,1,o,would,,would,,159
319,1,u,would,,would,,
320,1,l,would,,would,,
321,1,d,would,,would,,
322,1, ,be,,be,145,160
323,1,b,be,,be,,
324,1,e,be,,be,,
325,1, ,rejected,,a,146,161
326,1,r,rejected,,required,147,162
327,1,e,rejected,,rejected,148,163
328,1,j,rejected,,rejected,,164
329,1,e,rejected,,rejected,,
330,1,c,rejected,,rejected,,
331,1,t,rejected,,rejected,,
332,1,e,rejected,,rejected,,
333,1,d,rejected,,rejected,,
334,1, ,at,,by,149,165
335,1,a,at,,as,150,166
336,1,t,at,,at,151,
337,1, ,wikinews,,the,152,167
338,1,w,wikinews,,what,153,168
339,1,i,wikinews,,wikinews,154,169
340,1,k,wikinews,,wikinews,,170
341,1,i,wikinews,,wikinews,,171
342,1,n,wikinews,,wikinews,,
343,1,e,wikinews,,wikinews,,
344,1,w,wikinews,,wikinews,,
345,1,s,wikinews,,wikinews,,
346,1, ,as,,.,155,172
347,1,a,as,,and,156,
348,1,s,as,,as,157,
349,1, ,opinion,,a,158,173
350,1,o,opinion,,opposed,159,174
351,1,p,opinion,,open,160,175
352,1,i,opinion,,opinion,161,
353,1,n,opinion,,opinion,,
354,1,i,opinion,,opinion,,
355,1,o,opinion,,opinion,,
356,1,n,opinion,,opinion,,
357,1, ,analysis,,.,162,176
358,1,a,analysis,,and,163,177
359,1,n,analysis,,anymore,164,178
360,1,a,analysis,,analysis,165,
361,1,l,analysis,,analysis,,
362,1,y,analysis,,analysis,,
363,1,s,analysis,,analysis,,
364,1,i,analysis,,analysis,,
365,1,s,analysis,,analysis,,
366,1, ,.,,of,166,179
367,1,.,.,,.,167,180
368,1, ,a,,it,168,181
369,1,a,a,,a,169,182
370,1, ,major,,few,170,183
371,1,m,major,,more,171,184
372,1,a,major,,major,172,185
373,1,j,major,,major,,
374,1,o,major,,major,,
375,1,r,major,,major,,
376,1, ,tool,,news,173,186
377,1,t,tool,,time,174,187
378,1,o,tool,,topic,175,188
379,1,o,tool,,tool,176,189
380,1,l,tool,,tool,,
381,1, ,of,,of,177,190
382,1,o,of,,of,,191
383,1,f,of,,of,,
384,1, ,news,,a,178,192
385,1,n,news,,news,179,193
386,1,e,news,,news,,194
387,1,w,news,,news,,195
388,1,s,news,,news,,
389,1, ,neutrality,,and,180,196
390,1,n,neutrality,,news,181,197
391,1,e,neutrality,,needs,182,198
392,1,u,neutrality,,neutral,183,199
393,1,t,neutrality,,neutrality,184,
394,1,r,neutrality,,neutrality,,
395,1,a,neutrality,,neutrality,,
396,1,l,neutrality,,neutrality,,
397,1,i,neutrality,,neutrality,,
398,1,t,neutrality,,neutrality,,
399,1,y,neutrality,,neutrality,,
400,1, ,is,,.,185,200
401,1,i,is,,is,186,
402,1,s,is,,is,,
403,1, ,attribution,,not,187,201
404,1,a,attribution,,a,188,202
405,1,t,attribution,,at,189,203
406,1,t,attribution,,attempting,190,204
407,1,r,attribution,,attractive,191,205
408,1,i,attribution,,attribution,192,206
409,1,b,attribution,,attribution,,207
410,1,u,attribution,,attribution,,208
411,1,t,attribution,,attribution,,209
412,1,i,attribution,,attribution,,210
413,1,o,attribution,,attribution,,
414,1,n,attribution,,attribution,,
415,1, ,which,,.,193,211
416,1,w,which,,which,194,212
417,1,h,which,,which,,
418,1,i,which,,which,,
419,1,c,which,,which,,
420,1,h,which,,which,,
421,1, ,on,,is,195,213
422,1,o,on,,of,196,214
423,1,n,on,,only,197,215
424,1, ,the,,the,198,216
425,1,t,the,,the,,
426,1,h,the,,the,,
427,1,e,the,,the,,
428,1, ,face,,internet,199,217
429,1,f,face,,front,200,218
430,1,a,face,,face,201,219
431,1,c,face,,face,,
432,1,e,face,,face,,
433,1, ,of,,of,202,220
434,1,o,of,,of,,
435,1,f,of,,of,,
436,1, ,it,,the,203,221
437,1,i,it,,it,204,222
438,1,t,it,,it,,
439,1, ,could,,.,205,223
440,1,c,could,,could,206,224
441,1,o,could,,could,,225
442,1,u,could,,could,,
443,1,l,could,,could,,
444,1,d,could,,could,,
445,1, ,not,,be,207,226
446,1,n,not,,not,208,
447,1,o,not,,not,,
448,1,t,not,,not,,
449,1, ,be,,be,209,227
450,1,b,be,,be,,
451,1,e,be,,be,,
452,1, ,effectively,,used,210,228
453,1,e,effectively,,expected,211,229
454,1,f,effectively,,effectively,212,230
455,1,f,effectively,,effectively,,231
456,1,e,effectively,,effectively,,
457,1,c,effectively,,effectively,,
458,1,t,effectively,,effectively,,
459,1,i,effectively,,effectively,,
460,1,v,effectively,,effectively,,
461,1,e,effectively,,effectively,,
462,1,l,effectively,,effectively,,
463,1,y,effectively,,effectively,,
464,1, ,applied,,responsible,213,232
465,1,a,applied,,accepted,214,233
466,1,p,applied,,applied,215,
467,1,p,applied,,applied,,
468,1,l,applied,,applied,,
469,1,i,applied,,applied,,
470,1,e,applied,,applied,,
471,1,d,applied,,applied,,
472,1, ,on,,to,216,234
473,1,o,on,,over,217,
474,1,n,on,,on,218,
475,1, ,a,,the,219,235
476,1,a,a,,a,220,
477,1, ,massive,,case-by-case,221,236
478,1,m,massive,,much,222,237
479,1,a,massive,,may,223,238
480,1,s,massive,,massive,224,239
481,1,s,massive,,massive,,
482,1,i,massive,,massive,,
483,1,v,massive,,massive,,
484,1,e,massive,,massive,,
485,1, ,scale,,basis,225,240
486,1,s,scale,,scale,226,
487,1,c,scale,,scale,,
488,1,a,scale,,scale,,
489,1,l,scale,,scale,,
490,1,e,scale,,scale,,
491,1, ,to,,.,227,241
492,1,t,to,,to,228,242
493,1,o,to,,to,,243
494,1, ,wikipedia,,the,229,244
495,1,w,wikipedia,,which,230,
496,1,i,wikipedia,,wikinews,231,
497,1,k,wikipedia,,wikipedia,232,
498,1,i,wikipedia,,wikipedia,,
499,1,p,wikipedia,,wikipedia,,
500,1,e,wikipedia,,wikipedia,,
501,1,d,wikipedia,,wikipedia,,
502,1,i,wikipedia,,wikipedia,,
503,1,a,wikipedia,,wikipedia,,
504,1, ,.,,.,233,245
505,1,.,.,,.,,246
506,1, ,articles,,in,234,247
507,1,a,articles,,a,235,248
508,1,r,articles,,articles,236,249
509,1,t,articles,,articles,,250
510,1,i,articles,,articles,,
511,1,c,articles,,articles,,
512,1,l,articles,,articles,,
513,1,e,articles,,articles,,
514,1,s,articles,,articles,,
515,1, ,in,,on,237,251
516,1,i,in,,in,238,252
517,1,n,in,,in,,
518,1, ,either,,the,239,253
519,1,e,either,,english,240,254
520,1,i,either,,either,241,255
521,1,t,either,,either,,
522,1,h,either,,either,,
523,1,e,either,,either,,
524,1,r,either,,either,,
525,1, ,of,,way,242,256
526,1,o,of,,of,243,257
527,1,f,of,,of,,
528,1, ,the,,these,244,258
529,1,t,the,,the,245,
530,1,h,the,,the,,
531,1,e,the,,the,,
532,1, ,two,,two,246,259
533,1,t,two,,two,,260
534,1,w,two,,two,,
535,1,o,two,,two,,
536,1, ,projects,,days,247,261
537,1,p,projects,,projects,248,262
538,1,r,projects,,projects,,263
539,1,o,projects,,projects,,264
540,1,j,projects,,projects,,265
541,1,e,projects,,projects,,
542,1,c,projects,,projects,,
543,1,t,projects,,projects,,
544,1,s,projects,,projects,,
545,1, ,would,,have,249,266
546,1,w,would,,were,250,267
547,1,o,would,,would,251,268
548,1,u,would,,would,,
549,1,l,would,,would,,
550,1,d,would,,would,,
551,1, ,be,,be,252,269
552,1,b,be,,be,,
553,1,e,be,,be,,
554,1, ,likely,,used,253,270
555,1,l,likely,,likely,254,271
556,1,i,likely,,likely,,
557,1,k,likely,,likely,,
558,1,e,likely,,likely,,
559,1,l,likely,,likely,,
560,1,y,likely,,likely,,
561,1, ,to,,to,255,272
562,1,t,to,,to,,
563,1,o,to,,to,,
564,1, ,fail,,be,256,273
565,1,f,fail,,face,257,274
566,1,a,fail,,facilitate,258,275
567,1,i,fail,,fail,259,276
568,1,l,fail,,fail,,
569,1, ,badly,,to,260,277
570,1,b,badly,,but,261,278
571,1,a,badly,,back,262,279
572,1,d,badly,,badly,263,280
573,1,l,badly,,badly,,
574,1,y,badly,,badly,,
575,1, ,on,,done,264,281
576,1,o,on,,owned,265,282
577,1,n,on,,on,266,
578,1, ,various,,the,267,283
579,1,v,various,,very,268,284
580,1,a,various,,various,269,285
581,1,r,various,,various,,
582,1,i,various,,various,,
583,1,o,various,,various,,
584,1,u,various,,various,,
585,1,s,various,,various,,
586,1, ,basic,,official,270,286
587,1,b,basic,,but,271,287
588,1,a,basic,,bawolff,272,288
589,1,s,basic,,basic,273,289
590,1,i,basic,,basic,,
591,1,c,basic,,basic,,
592,1, ,criteria,,things,274,290
593,1,c,criteria,,clients,275,291
594,1,r,criteria,,criteria,276,292
595,1,i,criteria,,criteria,,
596,1,t,criteria,,criteria,,
597,1,e,criteria,,criteria,,
598,1,r,criteria,,criteria,,
599,1,i,criteria,,criteria,,
600,1,a,criteria,,criteria,,
601,1, ,of,,.,277,293
602,1,o,of,,of,278,
603,1,f,of,,of,,
604,1, ,the,,research,279,294
605,1,t,the,,the,280,
606,1,h,the,,the,,
607,1,e,the,,the,,
608,1, ,other,,other,281,295
609,1,o,other,,other,,296
610,1,t,other,,other,,
611,1,h,other,,other,,
612,1,e,other,,other,,
613,1,r,other,,other,,
614,1, ,project,,.,282,297
615,1,p,project,,parties,283,298
616,1,r,project,,projects,284,299
617,1,o,project,,project,285,300
618,1,j,project,,project,,301
619,1,e,project,,project,,
620,1,c,project,,project,,
621,1,t,project,,project,,
622,1, ,such,,.,286,302
623,1,s,such,,so,287,303
624,1,u,such,,such,288,
625,1,c,such,,such,,
626,1,h,such,,such,,
627,1, ,as,,projects,289,304
628,1,a,as,,as,290,
629,1,s,as,,as,,
630,1, ,neutrality,,the,291,305
631,1,n,neutrality,,name,292,306
632,1,e,neutrality,,news,293,307
633,1,u,neutrality,,neutrality,294,308
634,1,t,neutrality,,neutrality,,
635,1,r,neutrality,,neutrality,,
636,1,a,neutrality,,neutrality,,
637,1,l,neutrality,,neutrality,,
638,1,i,neutrality,,neutrality,,
639,1,t,neutrality,,neutrality,,
640,1,y,neutrality,,neutrality,,
641,1, ,but,,.,295,309
642,1,b,but,,but,296,310
643,1,u,but,,but,,
644,1,t,but,,but,,
645,1, ,also,,also,297,311
646,1,a,also,,also,,312
647,1,l,also,,also,,
648,1,s,also,,also,,
649,1,o,also,,also,,
650,1, ,extending,,the,298,313
651,1,e,extending,,even,299,314
652,1,x,extending,,except,300,315
653,1,t,extending,,extension,301,316
654,1,e,extending,,extending,302,317
655,1,n,extending,,extending,,318
656,1,d,extending,,extending,,319
657,1,i,extending,,extending,,320
658,1,n,extending,,extending,,
659,1,g,extending,,extending,,
660,1, ,to,,to,303,321
661,1,t,to,,to,,322
662,1,o,to,,to,,323
663,1, ,things,,the,304,324
664,1,t,things,,that,305,325
665,1,h,things,,this,306,326
666,1,i,things,,think,307,327
667,1,n,things,,things,308,328
668,1,g,things,,things,,
669,1,s,things,,things,,
670,1, ,like,,that,309,329
671,1,l,like,,like,310,330
672,1,i,like,,like,,
673,1,k,like,,like,,
674,1,e,like,,like,,
675,1, ,newsworthiness-versus-noteworthiness,oov,that,311,331
676,1,n,newsworthiness-versus-noteworthiness,oov,north,312,332
677,1,e,newsworthiness-versus-noteworthiness,oov,new,313,333
678,1,w,newsworthiness-versus-noteworthiness,oov,news,314,334
679,1,s,newsworthiness-versus-noteworthiness,oov,newsworthiness,315,335
680,1,w,newsworthiness-versus-noteworthiness,oov,newsworthy,316,336
681,1,o,newsworthiness-versus-noteworthiness,oov,newsroom,317,337
682,1,r,newsworthiness-versus-noteworthiness,oov,newspaper,318,338
683,1,t,newsworthiness-versus-noteworthiness,oov,newspapers,319,339
684,1,h,newsworthiness-versus-noteworthiness,oov,newcomers,320,340
685,1,i,newsworthiness-versus-noteworthiness,oov,reality,321,341
686,1,n,newsworthiness-versus-noteworthiness,oov,to,322,342
687,1,e,newsworthiness-versus-noteworthiness,oov,real,323,343
688,1,s,newsworthiness-versus-noteworthiness,oov,like,324,344
689,1,s,newsworthiness-versus-noteworthiness,oov,recent,325,345
690,1,-,newsworthiness-versus-noteworthiness,oov,counter-productive,326,346
691,1,v,newsworthiness-versus-noteworthiness,oov,environmental,327,347
692,1,e,newsworthiness-versus-noteworthiness,oov,images,328,348
693,1,r,newsworthiness-versus-noteworthiness,oov,might,329,349
694,1,s,newsworthiness-versus-noteworthiness,oov,need,330,350
695,1,u,newsworthiness-versus-noteworthiness,oov,just,331,351
696,1,s,newsworthiness-versus-noteworthiness,oov,israel,332,352
697,1,-,newsworthiness-versus-noteworthiness,oov,course,333,353
698,1,n,newsworthiness-versus-noteworthiness,oov,consensus,334,354
699,1,o,newsworthiness-versus-noteworthiness,oov,block,335,355
700,1,t,newsworthiness-versus-noteworthiness,oov,destruction,336,356
701,1,e,newsworthiness-versus-noteworthiness,oov,do,337,357
702,1,w,newsworthiness-versus-noteworthiness,oov,scientology,338,358
703,1,o,newsworthiness-versus-noteworthiness,oov,scientology's,339,359
704,1,r,newsworthiness-versus-noteworthiness,oov,blocked,340,360
705,1,t,newsworthiness-versus-noteworthiness,oov,don't,341,361
706,1,h,newsworthiness-versus-noteworthiness,oov,state-sponsored,342,362
707,1,i,newsworthiness-versus-noteworthiness,oov,state-owned,343,363
708,1,n,newsworthiness-versus-noteworthiness,oov,state-run,344,364
709,1,e,newsworthiness-versus-noteworthiness,oov,african-americans,345,365
710,1,s,newsworthiness-versus-noteworthiness,oov,israeli,346,366
711,1,s,newsworthiness-versus-noteworthiness,oov,users,347,367
712,1, ,.,,.,348,368
713,1,.,.,,.,,369
714,2,d,dm,,during,349,370
715,2,m,dm,,dmca,350,
716,2, ,i'm,,i,351,371
717,2,i,i'm,,it,352,372
718,2,',i'm,,i'm,353,373
719,2,m,i'm,,i'm,,
720,2, ,very,,sure,354,374
721,2,v,very,,very,355,375
722,2,e,very,,very,,
723,2,r,very,,very,,
724,2,y,very,,very,,
725,2, ,sure,,sure,356,376
726,2,s,sure,,sure,,377
727,2,u,sure,,sure,,378
728,2,r,sure,,sure,,
729,2,e,sure,,sure,,
730,2, ,about,,that,357,379
731,2,a,about,,and,358,380
732,2,b,about,,about,359,
733,2,o,about,,about,,
734,2,u,about,,about,,
735,2,t,about,,about,,
736,2, ,myself,,the,360,381
737,2,m,myself,,my,361,382
738,2,y,myself,,myself,362,
739,2,s,myself,,myself,,
740,2,e,myself,,myself,,
741,2,l,myself,,myself,,
742,2,f,myself,,myself,,
743,2, ,but,,.,363,383
744,2,b,but,,being,364,
745,2,u,but,,but,365,
746,2,t,but,,but,,
747,2, ,my,,i,366,384
748,2,m,my,,my,367,385
749,2,y,my,,my,,
750,2, ,daughter,,point,368,386
751,2,d,daughter,,daughter,369,387
752,2,a,daughter,,daughter,,
753,2,u,daughter,,daughter,,
754,2,g,daughter,,daughter,,
755,2,h,daughter,,daughter,,
756,2,t,daughter,,daughter,,
757,2,e,daughter,,daughter,,
758,2,r,daughter,,daughter,,
759,2, ,though,,is,370,388
760,2,t,though,,told,371,389
761,2,h,though,,that,372,390
762,2,o,though,,thought,373,391
763,2,u,though,,though,374,
764,2,g,though,,though,,
765,2,h,though,,though,,
766,2, ,she's,,it,375,392
767,2,s,she's,,some,376,393
768,2,h,she's,,she,377,394
769,2,e,she's,,she's,378,
770,2,',she's,,she's,,
771,2,s,she's,,she's,,
772,2, ,a,,not,379,395
773,2,a,a,,a,380,
774,2, ,paralympian,,little,381,396
775,2,p,paralympian,,pretty,382,397
776,2,a,paralympian,,part,383,398
777,2,r,paralympian,,partner,384,399
778,2,a,paralympian,,paralympian,385,400
779,2,l,paralympian,,paralympian,,401
780,2,y,paralympian,,paralympian,,402
781,2,m,paralympian,,paralympian,,403
782,2,p,paralympian,,paralympian,,404
783,2,i,paralympian,,paralympian,,405
784,2,a,paralympian,,paralympian,,406
785,2,n,paralympian,,paralympian,,407
786,2, ,yes,,old,386,408
787,2,y,yes,,you,387,409
788,2,e,yes,,yet,388,410
789,2,s,yes,,yes,389,
790,2, ,which,,.,390,411
791,2,w,which,,we,391,412
792,2,h,which,,what,392,413
793,2,i,which,,while,393,414
794,2,c,which,,which,394,
795,2,h,which,,which,,
796,2, ,again,,is,395,415
797,2,a,again,,are,396,416
798,2,g,again,,agreed,397,417
799,2,a,again,,again,398,418
800,2,i,again,,again,,
801,2,n,again,,again,,
802,2, ,was,,.,399,419
803,2,w,was,,we,400,420
804,2,a,was,,was,401,421
805,2,s,was,,was,,
806,2, ,considered,,a,402,422
807,2,c,considered,,considered,403,423
808,2,o,considered,,considered,,424
809,2,n,considered,,considered,,425
810,2,s,considered,,considered,,
811,2,i,considered,,considered,,
